tick,cur_x,cur_y,cur_yaw,target_x,target_y,target_yaw,force_x,force_y,v_cmd,w_cmd,cur_v
303, 0.2481, 8.4560, -1.4366, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0100, 0.6000, 0.0000
304, 0.2481, 8.4560, -1.4366, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0200, -0.6000, 0.0100
305, 0.2481, 8.4560, -1.4366, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0300, 0.6000, 0.0200
306, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0400, -0.6000, 0.0300
307, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0500, 0.6000, 0.0400
308, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0600, -0.6000, 0.0500
309, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0700, 0.6000, 0.0600
310, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0800, -0.6000, 0.0700
311, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0900, 0.6000, 0.0800
312, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1000, -0.6000, 0.0900
313, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1100, 0.6000, 0.1000
314, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1200, -0.6000, 0.1100
315, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1300, 0.6000, 0.1200
316, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1400, -0.6000, 0.1300
317, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1500, 0.6000, 0.1400
318, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1600, -0.6000, 0.1500
319, 0.2481, 8.4559, -1.4367, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1700, 0.6000, 0.1600
320, 0.2481, 8.4558, -1.4340, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1800, -0.6000, 0.1700
321, 0.2481, 8.4558, -1.4340, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1900, 0.6000, 0.1800
322, 0.2481, 8.4558, -1.4340, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.1900
323, 0.2481, 8.4558, -1.4340, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
324, 0.2482, 8.4554, -1.4287, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
325, 0.2483, 8.4544, -1.4249, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
326, 0.2483, 8.4544, -1.4249, 0.0000, 0.0000, 0.0000, -0.0016, 0.4605, 0.2000, -0.6000, 0.2000
327, 0.2485, 8.4531, -1.4198, 0.0000, 0.0000, 0.0000, -0.0015, 0.4590, 0.2000, 0.6000, 0.2000
328, 0.2488, 8.4514, -1.4176, 0.0000, 0.0000, 0.0000, -0.0015, 0.4590, 0.2000, -0.6000, 0.2000
